CD14,CD15,CD19,CD4,CD8,IL,PLA,RE,TR,V1
9,9,-1,-1,-1,9,-1,13,13,ALAS1
13,9,-1,9,9,3,-1,3,3,ALAS1
8,12,8,3,3,8,-1,8,7,ALCAM
3,9,3,3,3,3,-1,13,3,ALDH16A1
11,-1,6,-1,-1,11,-1,12,14,ALDH1A1
11,9,9,-1,9,11,-1,12,14,ALDH1A1
9,9,9,9,9,9,9,13,9,ALDH1A2
13,-1,3,3,3,8,-1,8,7,ALDH1B1
9,-1,-1,9,9,9,-1,13,13,ALDH1B1
11,8,6,3,6,11,-1,11,11,ALDH2
9,-1,-1,-1,-1,9,-1,9,13,ALDH3A2
12,-1,8,8,8,15,-1,14,14,ALDH3A2
8,-1,3,3,3,12,-1,12,12,ALDH3A2
14,12,-1,9,-1,12,-1,3,13,ALDH3B1
13,-1,-1,-1,-1,-1,-1,-1,15,ALDH4A1
9,-1,-1,-1,-1,-1,-1,-1,9,ALDH4A1
9,-1,-1,-1,-1,-1,-1,-1,-1,ALDH4A1
3,-1,3,3,3,12,-1,8,8,ALDH6A1
13,-1,9,9,13,8,-1,13,3,ALDH6A1
9,-1,9,9,9,12,-1,12,12,ALDH7A1
9,6,9,9,13,9,9,13,13,ALDH8A1
11,11,11,11,11,11,12,11,11,ALDH9A1
12,12,3,3,3,12,14,12,12,ALDOA
11,11,14,11,15,7,11,11,11,ALDOA
8,12,14,14,14,11,14,14,8,ALDOC
9,-1,-1,9,9,9,-1,9,9,ALG10B
9,-1,9,9,9,9,-1,9,9,ALG10B
13,9,9,3,13,9,-1,13,13,ALG11
9,9,9,9,9,9,9,13,13,ALG12
13,-1,3,3,13,3,-1,8,8,ALG14
9,-1,-1,-1,9,9,-1,3,3,ALG14
9,-1,9,9,9,9,9,9,9,ALG2
12,9,8,8,8,12,9,8,8,ALG3
12,9,12,14,14,14,-1,12,12,ALG5
8,8,3,8,8,8,-1,3,7,ALG6
8,-1,8,8,8,8,-1,3,3,ALG8
8,9,12,8,12,8,9,8,8,ALG8
3,-1,8,8,8,8,-1,8,8,ALG9
9,-1,9,9,-1,9,-1,9,9,ALK
3,3,3,3,3,3,-1,3,3,ALKBH1
3,3,3,3,3,3,-1,3,3,ALKBH1
13,-1,3,3,3,3,-1,13,13,ALKBH2
3,-1,3,8,8,3,-1,3,3,ALKBH3
9,-1,9,9,13,13,-1,9,15,ALKBH4
2,11,2,11,11,11,11,11,11,ALKBH5
3,3,3,3,3,3,-1,3,3,ALKBH6
8,3,8,8,8,8,-1,8,8,ALKBH7
9,-1,3,3,13,13,-1,-1,15,ALKBH8
9,-1,9,9,9,9,-1,9,9,ALMS1
9,-1,-1,-1,-1,-1,-1,-1,-1,ALOX15B
11,11,11,8,8,6,14,6,6,ALOX5
11,11,11,11,11,14,12,12,6,ALOX5AP
3,14,9,9,-1,3,-1,13,3,ALPK1
7,11,11,11,15,7,12,14,14,ALPP
3,3,9,3,13,8,-1,3,3,ALS2
9,9,9,9,9,9,9,9,9,ALX1
9,-1,9,-1,-1,9,-1,9,9,SLC35G5
13,3,9,9,9,3,14,13,13,SLC35G6
9,3,9,9,9,3,-1,12,12,AMACR
9,9,9,9,9,9,-1,9,13,AMBRA1
14,14,14,14,14,14,11,14,14,AMD1
3,12,8,8,8,3,12,3,7,AMD1
6,-1,-1,-1,-1,-1,-1,-1,-1,AMDHD1
13,3,3,3,13,3,-1,13,13,AMDHD2
7,6,14,8,12,12,12,6,6,AMFR
9,-1,9,9,9,9,-1,9,9,AMFR
11,11,6,14,14,3,14,3,13,JAML
3,3,3,3,3,3,-1,3,7,AMMECR1L
9,8,3,3,13,13,-1,-1,-1,AMN1
9,3,3,9,13,3,9,13,9,AMOTL2
9,3,9,-1,-1,-1,-1,-1,-1,AMPD3
9,-1,-1,-1,-1,-1,-1,-1,-1,AMPD3
9,9,9,9,-1,12,-1,12,8,AMT
13,8,9,9,9,9,-1,9,9,AMY2A
9,-1,-1,-1,-1,-1,-1,-1,-1,AMY2A
9,8,9,9,9,9,-1,9,9,AMY2B
14,14,14,14,15,14,12,12,12,AMZ2
8,-1,12,14,12,8,-1,8,8,ANAPC1
13,12,3,3,3,3,14,13,13,ANAPC1
8,-1,8,8,8,3,-1,13,9,ANAPC10
8,-1,3,3,8,8,-1,3,7,ANAPC11
9,9,-1,9,9,-1,9,-1,-1,ANAPC11
14,8,12,14,12,12,14,12,12,ANAPC11
11,11,11,11,11,15,14,14,14,ANAPC13
8,8,8,8,12,8,-1,8,8,ANAPC4
14,8,14,14,14,14,11,12,12,ANAPC5
9,-1,9,9,9,-1,-1,-1,15,ANAPC7
12,9,3,9,13,7,9,14,14,ANG
3,9,3,3,3,3,-1,13,13,ANGEL1
12,12,14,14,14,12,-1,8,12,ANGEL2
13,8,-1,-1,-1,9,12,9,9,ANGPT1
9,3,9,9,9,8,9,13,13,ANGPTL4
9,9,9,9,9,3,9,3,7,ANK3
12,12,8,8,8,12,-1,12,12,ANKFY1
8,12,8,8,8,8,-1,8,8,ANKHD1
9,9,-1,-1,-1,13,-1,9,15,ANKHD1-EIF4EBP3
12,8,12,8,12,12,-1,12,12,ANKIB1
8,8,12,14,12,8,9,8,8,ANKLE2
13,3,3,3,3,3,14,3,3,ANKMY1
3,9,8,8,8,8,-1,8,8,ANKMY2
3,8,8,8,8,8,-1,3,7,ANKRA2
8,12,12,8,12,8,-1,8,8,ANKRA2
8,8,12,8,8,8,14,8,8,ANKRD10
8,8,12,8,12,8,12,8,8,ANKRD10
15,14,6,8,8,12,-1,12,8,ANKRD11
3,14,8,8,8,12,9,12,8,ANKRD12
14,11,11,14,15,14,14,14,14,ANKRD13A
3,-1,3,3,3,3,-1,3,3,ANKRD13C
9,-1,9,9,9,9,-1,9,9,ANKRD16
13,-1,3,9,13,9,-1,13,13,ANKRD16
9,-1,-1,9,-1,-1,-1,-1,9,ANKRD16
8,8,3,8,8,8,-1,8,7,ANKRD17
8,12,8,8,12,12,-1,8,8,ANKRD17
15,8,-1,-1,-1,9,-1,3,3,ANKRD22
15,12,9,9,13,3,9,8,8,ANKRD22
3,3,3,3,3,3,9,3,3,ANKRD27
9,9,3,3,3,3,12,3,3,ANKRD28
9,3,9,3,6,9,-1,9,9,SLF1
9,3,9,9,13,9,-1,9,9,SLF1
11,12,8,8,12,7,12,11,14,ANKRD33
13,9,9,9,13,3,9,13,13,ANKRD35
3,-1,-1,9,13,9,-1,13,9,ANKRD35
9,-1,9,9,13,3,-1,3,7,ANKRD37
3,3,8,8,8,8,14,3,7,ANKRD39
3,3,3,3,3,3,9,3,3,ANKRD40
3,-1,3,8,8,12,-1,3,7,ANKRD46
3,8,8,8,8,3,-1,3,3,ANKRD49
3,9,-1,-1,-1,3,-1,3,13,ANKRD50
13,9,3,3,13,3,-1,3,3,ANKRD54
8,-1,-1,9,-1,14,-1,14,11,SOWAHC
9,8,9,9,13,9,9,9,9,ANKRD6
13,-1,6,9,6,7,2,14,11,ANKRD9
8,12,3,3,3,12,9,12,12,ANKS1A
13,8,3,3,3,3,9,3,3,ANKZF1
9,9,-1,9,9,9,-1,-1,9,ANKZF1
3,3,-1,9,13,12,-1,8,12,ANO10
14,9,8,8,8,15,2,3,13,ANO6
9,-1,-1,9,9,9,-1,9,9,ANO8
9,9,9,9,9,3,-1,13,3,ANO9
15,12,3,3,3,3,-1,13,13,ANP32A
2,14,2,11,2,11,2,11,2,ANP32B
3,6,3,9,13,9,-1,9,9,ANP32C
7,14,-1,-1,-1,2,-1,12,11,ANPEP
14,11,12,14,14,14,12,14,14,ANTXR2
2,14,6,11,11,6,12,6,6,ANXA1
9,-1,-1,-1,-1,-1,-1,9,-1,ANXA10
8,14,8,8,12,12,-1,12,12,ANXA11
12,14,12,14,14,12,9,12,14,ANXA11
6,12,3,3,6,9,-1,9,9,ANXA11
12,-1,3,3,13,8,-1,8,8,ANXA2
8,-1,9,9,9,8,-1,8,8,ANXA2
2,9,11,11,11,2,14,11,2,ANXA2
12,-1,3,3,3,8,-1,8,8,ANXA2P1
2,-1,14,14,15,7,14,11,11,ANXA2P1
2,11,2,11,2,2,2,11,2,ANXA2P2
3,-1,9,9,9,9,-1,3,3,ANXA2P3
8,-1,3,9,6,14,-1,12,12,ANXA4
