CD14,CD15,IL,CD4,CD8,CD19,PLA,RE,TR,V1
6,8,5,6,8,8,8,5,5,AKNA
8,6,8,6,6,10,10,10,11,AKR1A1
8,6,8,6,6,8,5,6,6,AKR1A1
5,5,10,3,3,10,5,11,11,AKR1A1
6,8,6,6,6,8,8,11,6,AKR1B1
10,6,6,11,6,8,5,10,11,AKR1C3
2,5,2,2,2,2,9,2,2,AKR1D1
2,5,2,2,2,2,10,2,2,AKR7A2
2,2,2,2,2,2,6,2,2,AKR7A3
3,6,3,3,3,5,3,3,3,AKT1
3,6,3,3,3,5,5,3,3,AKT1
5,6,10,10,10,10,8,10,10,AKT1
12,3,12,12,12,2,10,12,2,AKT1S1
3,8,12,5,5,3,5,12,2,AKTIP
12,10,3,12,12,3,5,3,3,AKTIP
12,3,2,12,12,3,10,12,2,ALAD
12,5,12,12,12,3,5,12,2,ALAD
12,3,2,12,12,2,12,2,2,ALAS1
12,5,12,12,3,3,12,12,2,ALAS1
12,5,12,12,12,3,12,12,2,ALCAM
12,5,12,3,3,3,10,12,2,ALDH16A1
12,5,12,3,3,3,10,12,2,ALDH1A1
3,6,5,5,5,5,10,5,5,ALDH1A1
12,3,12,2,2,2,6,12,2,ALDH1A2
12,10,12,12,12,3,3,12,2,ALDH1B1
6,8,6,6,6,10,8,6,6,ALDH1B1
3,5,3,11,6,5,5,3,3,ALDH2
12,2,3,5,5,5,5,3,3,ALDH3A2
10,10,6,6,6,8,8,11,6,ALDH3A2
2,2,2,12,12,2,2,2,2,ALDH3A2
3,3,5,10,10,10,5,5,3,ALDH3B1
12,3,3,12,12,3,6,3,3,ALDH4A1
2,2,12,12,12,2,2,12,2,ALDH4A1
12,2,3,3,3,5,10,3,3,ALDH4A1
2,2,12,3,3,5,9,3,3,ALDH6A1
3,5,3,5,5,5,10,3,3,ALDH6A1
12,2,12,12,12,3,6,12,2,ALDH7A1
12,3,3,3,3,3,6,12,3,ALDH8A1
12,5,3,12,12,3,6,3,3,ALDH9A1
12,3,3,12,12,2,12,3,3,ALDOA
5,6,6,8,8,8,8,6,6,ALDOA
8,6,12,8,6,9,6,12,2,ALDOC
5,6,5,5,5,5,10,5,5,ALG10B
8,8,8,8,8,8,8,8,8,ALG10B
5,10,12,3,3,3,3,12,3,ALG11
6,8,6,6,6,8,5,11,10,ALG12
10,10,10,11,10,10,8,10,11,ALG14
10,10,6,11,10,8,8,11,11,ALG14
6,8,6,6,6,10,8,6,6,ALG2
10,10,10,11,10,10,8,10,10,ALG3
5,5,5,5,5,5,5,5,5,ALG5
10,10,10,10,10,10,10,10,10,ALG6
5,6,5,10,10,10,8,5,5,ALG8
12,3,12,12,12,3,10,12,2,ALG8
6,10,10,10,10,10,3,10,10,ALG9
3,2,5,5,5,3,5,5,10,ALK
12,3,12,12,3,3,6,3,3,ALKBH1
8,8,8,6,8,8,8,8,8,ALKBH1
2,2,2,2,2,2,2,2,2,ALKBH2
10,10,6,11,10,5,3,5,5,ALKBH3
10,6,10,5,5,5,8,10,10,ALKBH4
3,3,10,11,10,10,3,3,3,ALKBH5
10,5,6,10,10,10,3,10,11,ALKBH6
10,6,10,11,6,10,8,11,11,ALKBH7
8,8,8,8,8,8,8,8,8,ALKBH8
8,8,8,8,8,8,8,8,8,ALMS1
6,10,6,11,6,10,5,11,11,ALOX15B
12,2,9,11,6,2,9,9,10,ALOX5
10,5,10,10,10,10,3,10,10,ALOX5AP
10,10,10,10,10,10,5,10,10,ALPK1
10,10,10,10,10,10,8,10,10,ALPP
5,5,7,11,10,10,12,5,10,ALS2
10,6,10,10,10,10,3,10,10,ALX1
8,8,8,8,8,8,8,8,8,SLC35G5
8,8,8,8,8,8,8,8,8,SLC35G6
10,3,10,6,6,8,3,10,10,AMACR
6,6,6,6,6,8,5,6,6,AMBRA1
6,8,6,11,6,8,8,11,11,AMD1
10,10,10,5,5,5,8,11,11,AMD1
12,3,3,5,5,5,10,3,3,AMDHD1
8,8,8,8,8,8,8,8,8,AMDHD2
10,6,5,6,6,2,8,10,10,AMFR
10,10,3,10,5,10,6,5,5,AMFR
3,10,5,3,3,5,5,3,3,JAML
3,2,1,6,6,5,3,6,1,AMMECR1L
10,6,6,10,10,10,8,11,11,AMN1
6,6,6,10,10,8,5,11,11,AMOTL2
3,3,3,3,3,3,3,3,3,AMPD3
5,5,5,5,5,5,12,5,5,AMPD3
3,3,3,3,3,5,3,3,5,AMT
5,5,6,10,10,5,6,6,11,AMY2A
3,3,8,11,10,8,10,6,8,AMY2A
6,8,10,3,3,3,8,10,11,AMY2B
3,5,5,5,5,5,5,5,5,AMZ2
10,10,6,11,6,10,5,11,11,ANAPC1
9,5,3,3,5,3,3,10,10,ANAPC1
12,6,10,5,5,10,8,6,6,ANAPC10
11,2,2,12,12,2,12,12,2,ANAPC11
9,2,3,12,12,3,12,3,5,ANAPC11
3,3,6,3,3,5,12,6,6,ANAPC11
6,8,10,5,5,10,5,6,6,ANAPC13
3,5,10,9,10,10,12,11,11,ANAPC4
12,3,5,5,5,5,6,10,10,ANAPC5
10,6,10,8,6,8,5,10,11,ANAPC7
10,8,3,3,3,5,8,3,3,ANG
10,8,5,3,3,5,8,3,3,ANGEL1
8,6,8,6,6,8,3,8,8,ANGEL2
8,6,8,8,8,8,8,8,8,ANGPT1
6,6,6,11,6,8,8,6,6,ANGPTL4
3,3,12,12,12,3,12,12,3,ANK3
10,10,10,11,10,10,10,11,11,ANKFY1
10,6,10,10,10,10,8,10,10,ANKHD1
10,6,10,10,10,10,8,10,10,ANKHD1-EIF4EBP3
6,5,10,11,6,10,8,10,10,ANKIB1
3,10,5,5,5,3,3,5,5,ANKLE2
5,6,6,10,10,10,5,11,11,ANKMY1
5,10,10,10,10,10,5,10,10,ANKMY2
12,2,12,5,5,5,3,3,3,ANKRA2
3,3,3,3,3,3,3,3,3,ANKRA2
5,5,3,5,5,5,10,3,3,ANKRD10
5,6,10,10,10,10,5,5,3,ANKRD10
12,5,12,3,3,3,12,12,2,ANKRD11
3,3,5,3,3,3,3,5,5,ANKRD12
8,8,8,8,8,8,8,8,8,ANKRD13A
10,6,10,5,5,5,10,11,10,ANKRD13C
5,8,10,11,10,5,5,11,10,ANKRD16
5,5,3,5,5,5,12,3,5,ANKRD16
11,9,9,11,10,9,5,9,3,ANKRD16
